Runway,Slot_date,Slot_time,Possible_delay,Delay,FlightID,0
88,2017-11-01,00:04:54,43,33,96,96
12,2020-07-13,15:14:52,14,80,97,97
72,2020-06-24,00:19:51,56,21,98,98
50,2018-01-14,23:03:48,40,49,99,99
46,2016-10-28,07:28:04,44,72,100,100
36,2016-05-08,15:35:32,60,27,101,101
85,2016-05-01,21:50:25,55,97,102,102
88,2017-06-08,04:08:09,20,96,103,103
90,2017-09-27,16:58:50,58,13,104,104
63,2018-09-08,07:52:05,44,46,105,105
41,2017-06-06,08:26:44,13,56,106,106
80,2019-12-07,08:38:34,14,12,107,107
4,2020-05-03,14:04:31,20,59,108,108
54,2016-07-31,15:43:48,47,10,109,109
13,2016-11-30,17:49:18,19,65,110,110
18,2017-06-20,13:38:46,55,79,111,111
16,2019-10-22,10:04:07,45,30,112,112
11,2017-05-18,21:21:08,14,83,113,113
12,2019-10-23,05:55:20,51,92,114,114
54,2016-06-06,09:11:59,48,100,115,115
92,2019-05-14,08:40:34,20,14,116,116
31,2018-03-28,00:24:09,54,88,117,117
38,2018-04-02,13:28:05,45,59,118,118
2,2019-10-22,10:47:23,20,53,119,119
79,2021-04-17,11:39:19,42,11,120,120
96,2017-08-03,10:09:13,51,22,121,121
83,2017-11-25,11:49:03,24,26,122,122
10,2017-08-31,05:02:46,49,73,123,123
38,2017-03-29,03:59:46,25,87,124,124
42,2017-10-06,02:50:49,39,24,125,125
63,2020-05-26,21:19:20,26,96,126,126
90,2018-09-13,09:40:40,47,58,127,127
28,2019-05-10,10:12:33,50,61,128,128
20,2017-06-08,09:41:56,16,43,129,129
9,2018-02-13,22:08:27,55,86,130,130
1,2017-05-21,10:49:06,45,94,131,131
70,2020-10-16,22:00:21,44,11,132,132
20,2020-05-04,06:06:24,40,82,133,133
43,2020-12-19,13:45:54,14,76,134,134
53,2020-02-04,11:46:26,49,18,135,135
7,2020-09-17,19:01:20,52,44,136,136
48,2016-06-21,15:18:41,55,41,137,137
4,2017-02-01,14:37:25,54,81,138,138
35,2017-04-25,23:32:59,55,72,139,139
60,2016-11-29,10:58:49,47,94,140,140
20,2017-09-26,21:57:34,19,83,141,141
12,2018-08-01,02:04:53,24,28,142,142
66,2020-08-30,08:27:43,35,27,143,143
54,2017-03-23,19:31:44,56,45,144,144
54,2016-07-18,05:19:59,23,94,145,145
46,2020-02-28,06:56:44,34,67,146,146
4,2020-02-13,02:39:48,37,25,147,147
100,2017-07-15,22:16:03,24,98,148,148
63,2018-05-13,04:07:32,28,17,149,149
18,2018-03-14,19:56:48,51,20,150,150
5,2018-12-27,04:44:40,57,83,151,151
29,2017-08-08,19:50:49,33,48,152,152
50,2018-01-24,23:28:20,46,27,153,153
33,2017-12-01,11:56:03,21,72,154,154
15,2018-03-13,02:29:33,12,47,155,155
37,2017-11-05,01:39:38,33,32,156,156
81,2018-05-20,20:35:19,43,29,157,157
23,2019-04-22,23:41:42,56,37,158,158
45,2019-01-25,05:01:12,26,21,159,159
91,2019-02-27,02:11:54,34,17,160,160
37,2020-06-04,08:07:13,33,73,161,161
24,2018-08-15,22:56:39,28,84,162,162
32,2018-06-08,18:05:53,33,77,163,163
70,2016-08-15,01:01:30,20,60,164,164
49,2018-06-18,06:10:28,14,66,165,165
40,2020-07-25,03:55:48,33,86,166,166
4,2017-03-31,01:39:50,27,44,167,167
72,2020-09-07,01:33:41,35,89,168,168
52,2019-03-18,17:06:46,56,23,169,169
39,2017-09-26,12:11:14,14,16,170,170
32,2017-10-18,14:50:07,52,24,171,171
90,2020-12-13,03:03:42,17,77,172,172
40,2020-09-14,02:55:47,59,79,173,173
22,2016-07-28,15:06:23,25,33,174,174
4,2016-08-06,13:24:13,54,43,175,175
96,2018-08-12,10:49:54,30,37,176,176
72,2019-11-08,08:39:30,55,94,177,177
93,2020-11-14,08:12:18,36,96,178,178
84,2018-11-07,07:08:02,29,62,179,179
19,2019-07-17,01:30:21,23,40,180,180
64,2017-01-17,15:38:08,29,79,181,181
21,2020-09-13,03:23:42,60,30,182,182
75,2019-01-10,06:16:53,20,11,183,183
97,2019-08-16,15:20:55,17,27,184,184
83,2019-04-12,15:42:34,41,24,185,185
34,2019-02-14,14:47:38,35,61,186,186
49,2017-10-02,03:00:30,44,68,187,187
58,2020-07-24,23:39:30,51,59,188,188
38,2018-12-31,15:50:54,20,28,189,189
26,2019-10-16,13:07:39,25,39,190,190
24,2016-05-20,15:09:03,40,51,191,191
22,2021-02-11,00:14:13,33,45,192,192
100,2017-02-05,18:54:47,47,47,193,193
3,2016-06-03,19:08:53,30,56,194,194
29,2017-01-21,04:41:26,56,54,195,195
35,2016-07-17,08:44:04,19,89,196,196
48,2019-06-08,04:16:28,11,16,197,197
43,2020-04-09,19:34:06,27,29,198,198
90,2017-06-11,10:28:57,55,100,199,199
9,2018-10-31,03:03:32,43,36,200,200
93,2017-07-30,15:01:00,17,38,201,201
17,2020-01-20,22:03:03,53,34,202,202
95,2016-09-19,19:43:12,21,65,203,203
94,2018-05-10,16:02:48,26,54,204,204
75,2018-07-02,21:40:22,18,48,205,205
59,2018-01-02,14:37:08,23,98,206,206
99,2021-02-23,02:20:19,51,67,207,207
3,2017-04-12,04:47:54,28,84,208,208
38,2020-11-06,10:07:52,12,57,209,209
96,2016-06-23,22:20:56,45,75,210,210
60,2019-03-29,13:38:06,42,40,211,211
33,2018-11-20,12:45:59,55,28,212,212
56,2016-07-22,08:31:04,41,98,213,213
41,2018-12-23,02:27:00,39,25,214,214
36,2019-12-23,13:55:52,13,79,215,215
25,2019-10-19,09:44:33,40,28,216,216
32,2021-03-25,20:20:28,19,64,217,217
40,2018-03-18,06:09:05,47,32,218,218
48,2020-01-18,05:08:46,19,10,219,219
34,2017-10-26,03:01:57,49,89,220,220
47,2017-12-13,12:26:32,47,65,221,221
92,2018-07-09,16:53:39,11,90,222,222
35,2016-12-30,01:05:35,44,41,223,223
37,2016-05-16,20:19:05,14,71,224,224
67,2019-01-23,10:15:51,10,73,225,225
56,2019-05-19,02:42:00,23,25,226,226
96,2019-08-07,22:45:51,54,63,227,227
46,2016-08-14,00:31:13,26,84,228,228
32,2018-07-15,12:05:21,22,18,229,229
64,2018-04-18,18:44:02,19,58,230,230
90,2016-09-27,09:11:54,25,74,231,231
56,2021-01-23,02:47:35,53,18,232,232
75,2016-07-31,09:52:21,59,50,233,233
28,2017-08-13,18:34:35,39,34,234,234
56,2018-02-25,00:00:16,31,83,235,235
80,2019-05-10,16:26:59,20,40,236,236
79,2020-11-27,10:55:54,43,47,237,237
75,2020-04-05,11:38:17,17,20,238,238
67,2018-03-12,11:28:10,19,56,239,239
65,2018-03-06,15:22:02,18,32,240,240
21,2018-06-09,13:58:34,49,50,241,241
4,2020-10-30,12:09:39,38,71,242,242
3,2018-11-29,01:50:59,55,26,243,243
14,2017-01-17,18:18:42,11,82,244,244
50,2017-05-09,03:10:43,29,64,245,245
90,2018-02-19,17:53:44,33,72,246,246
45,2019-12-30,07:47:50,27,34,247,247
95,2019-10-27,15:05:50,52,58,248,248
47,2020-08-06,16:43:28,22,68,249,249
86,2020-05-20,07:07:27,24,35,250,250
2,2020-10-14,03:41:23,40,15,251,251
4,2021-01-06,04:33:55,27,78,252,252
15,2018-11-28,15:16:53,14,50,253,253
72,2019-08-09,10:04:34,56,35,254,254
6,2020-04-03,21:07:12,39,19,255,255
56,2018-11-07,13:49:15,37,67,256,256
6,2017-07-20,15:47:46,36,73,257,257
18,2018-05-31,00:21:34,23,28,258,258
67,2019-06-08,15:15:10,17,26,259,259
45,2016-11-07,11:12:25,28,41,260,260
24,2018-02-26,04:31:29,17,72,261,261
3,2020-05-22,03:10:30,35,18,262,262
89,2016-08-23,10:26:42,43,40,263,263
35,2019-01-08,14:39:54,41,100,264,264
48,2019-11-06,23:27:56,44,88,265,265
35,2017-11-11,15:29:32,25,78,266,266
46,2019-08-11,05:43:34,29,32,267,267
80,2019-01-25,21:42:55,53,98,268,268
2,2019-06-04,23:27:36,24,44,269,269
14,2018-10-08,01:18:20,15,38,270,270
27,2016-09-21,11:45:55,41,50,271,271
29,2017-09-10,22:52:12,44,54,272,272
66,2016-12-04,20:04:29,54,52,273,273
100,2016-09-07,21:10:40,46,63,274,274
65,2019-10-23,01:08:53,53,38,275,275
82,2019-07-09,16:25:18,49,31,276,276
82,2021-01-31,08:18:01,18,48,277,277
92,2018-03-14,19:49:01,35,49,278,278
90,2020-07-02,05:11:41,44,56,279,279
24,2020-02-27,17:04:23,46,96,280,280
26,2019-10-26,22:17:56,35,24,281,281
96,2018-10-18,23:46:56,23,50,282,282
73,2017-08-11,21:44:45,53,76,283,283
89,2016-08-17,16:32:41,43,83,284,284
35,2020-05-16,07:47:53,37,99,285,285
80,2020-03-07,08:25:53,23,48,286,286
34,2019-10-17,16:01:49,22,91,287,287
54,2019-06-12,22:22:01,13,56,288,288
39,2020-01-11,04:35:31,53,38,289,289
22,2020-01-02,02:44:25,38,15,290,290
84,2020-05-21,02:51:17,58,57,291,291
81,2019-07-26,04:10:15,40,72,292,292
30,2020-12-03,02:29:05,21,79,293,293
45,2020-10-19,12:09:41,15,23,294,294
8,2019-07-01,14:10:38,51,61,295,295
23,2020-05-06,00:59:22,43,19,296,296
73,2018-11-05,13:54:47,33,78,297,297
11,2016-11-10,10:56:29,36,20,298,298
90,2018-02-09,10:42:15,21,84,299,299
82,2017-06-11,08:00:47,12,78,300,300
87,2019-05-29,06:11:11,15,58,301,301
100,2017-10-27,00:36:35,47,63,302,302
47,2018-08-03,08:37:51,24,65,303,303
38,2017-08-13,12:21:15,29,12,304,304
21,2019-09-16,23:51:58,22,89,305,305
78,2017-04-07,05:24:01,26,47,306,306
32,2020-06-05,16:30:37,22,95,307,307
79,2016-06-27,04:55:30,13,30,308,308
48,2019-01-26,08:42:29,32,35,309,309
21,2020-12-01,06:48:50,54,89,310,310
45,2021-02-09,14:32:26,13,34,311,311
1,2020-10-18,23:22:10,35,28,312,312
74,2019-10-05,10:49:23,36,93,313,313
48,2019-03-19,22:25:57,43,20,314,314
42,2018-01-15,14:33:20,28,35,315,315
77,2020-07-24,19:35:33,43,79,316,316
79,2017-05-08,12:20:10,41,98,317,317
36,2019-07-31,02:22:12,32,22,318,318
36,2017-07-15,15:32:39,20,91,319,319
50,2018-06-13,20:29:08,34,96,320,320
26,2018-02-23,16:50:52,40,28,321,321
62,2020-02-07,04:56:39,15,70,322,322
57,2017-04-21,01:07:17,58,20,323,323
87,2017-04-10,23:57:59,11,76,324,324
66,2018-05-22,02:33:58,18,92,325,325
30,2020-02-29,06:35:17,27,16,326,326
9,2021-03-22,01:53:33,50,57,327,327
23,2017-09-02,08:19:10,57,53,328,328
65,2017-03-31,20:21:11,18,48,329,329
8,2019-12-09,06:26:50,53,44,330,330
39,2020-02-27,07:52:43,49,36,331,331
33,2019-01-12,13:31:52,60,80,332,332
37,2021-03-29,14:58:54,47,58,333,333
48,2020-12-28,21:34:50,25,95,334,334
34,2020-03-08,21:55:52,19,78,335,335
10,2017-01-19,22:59:54,45,99,336,336
65,2019-01-09,06:12:58,49,84,337,337
7,2018-02-05,01:37:19,41,90,338,338
33,2019-05-14,08:03:13,24,57,339,339
8,2019-04-05,09:20:59,31,10,340,340
84,2017-07-22,12:10:40,31,66,341,341
17,2019-08-09,20:06:09,45,26,342,342
90,2020-08-11,18:30:26,38,22,343,343
16,2020-05-21,05:55:58,42,39,344,344
47,2020-03-14,05:15:57,20,46,345,345
19,2019-11-12,06:40:29,22,24,346,346
45,2019-09-27,08:50:58,41,45,347,347
81,2018-10-24,05:11:26,13,64,348,348
84,2020-04-06,05:31:30,18,16,349,349
8,2020-12-15,23:51:18,24,47,350,350
72,2018-10-07,23:23:58,42,89,351,351
44,2019-01-11,07:43:44,58,97,352,352
30,2017-09-08,11:39:24,24,17,353,353
36,2019-09-03,15:22:38,31,23,354,354
4,2021-01-05,04:34:15,46,51,355,355
77,2018-08-30,06:17:51,36,72,356,356
80,2018-04-17,23:04:18,10,97,357,357
89,2020-10-31,01:47:27,35,16,358,358
38,2016-05-07,18:50:46,40,87,359,359
45,2019-11-12,12:10:55,19,16,360,360
1,2018-04-28,03:50:32,26,22,361,361
33,2018-04-23,20:01:49,28,21,362,362
54,2018-06-19,08:02:04,10,18,363,363
60,2017-03-07,06:09:46,39,89,364,364
44,2016-06-11,02:03:20,14,90,365,365
58,2020-03-09,15:05:22,29,11,366,366
23,2016-08-28,04:50:18,13,44,367,367
80,2017-07-13,16:31:35,44,45,368,368
82,2018-01-28,19:30:15,56,57,369,369
16,2017-04-30,00:28:48,37,34,370,370
24,2021-03-09,03:33:32,52,86,371,371
89,2016-08-02,17:25:28,23,51,372,372
100,2019-10-26,07:20:04,54,92,373,373
10,2016-07-29,12:27:00,38,36,374,374
14,2019-05-08,07:23:20,29,24,375,375
52,2017-07-24,00:12:01,14,51,376,376
68,2018-12-18,18:42:33,39,15,377,377
45,2017-08-17,18:04:02,58,76,378,378
73,2017-06-10,16:12:05,45,85,379,379
94,2017-06-15,16:34:54,54,73,380,380
43,2017-11-15,18:34:09,38,74,381,381
64,2018-06-08,04:22:51,56,49,382,382
26,2016-06-12,22:20:04,40,31,383,383
61,2020-12-27,14:44:41,41,94,384,384
8,2018-02-27,10:35:53,27,100,385,385
82,2018-04-23,20:23:01,11,75,386,386
67,2019-12-05,03:17:15,32,38,387,387
22,2017-07-02,21:24:44,50,10,388,388
27,2016-05-16,22:38:30,18,97,389,389
57,2017-07-29,04:48:27,60,34,390,390
39,2017-11-11,17:36:12,54,79,391,391
24,2018-10-24,12:32:51,60,22,392,392
4,2018-08-23,05:39:42,39,11,393,393
64,2016-11-03,08:02:01,22,72,394,394
18,2017-08-20,09:31:30,55,83,395,395
10,2019-01-12,06:36:38,16,88,396,396
46,2019-02-03,17:59:17,25,71,397,397
91,2018-05-09,14:17:22,12,73,398,398
55,2018-08-16,17:42:36,49,89,399,399
14,2018-05-21,07:11:36,48,39,400,400
100,2020-11-19,05:52:59,15,54,401,401
60,2020-03-26,04:28:08,29,10,402,402
73,2017-02-16,00:06:15,34,85,403,403
76,2017-01-05,04:56:30,12,86,404,404
35,2016-10-21,10:46:53,34,33,405,405
80,2016-06-06,06:54:33,47,14,406,406
50,2017-12-16,00:53:29,37,46,407,407
38,2020-12-27,12:01:49,20,73,408,408
35,2017-02-21,06:14:02,57,34,409,409
12,2020-07-11,09:39:45,46,67,410,410
20,2016-09-27,19:37:46,15,85,411,411
11,2018-04-21,13:08:35,15,20,412,412
90,2020-07-18,09:12:34,45,67,413,413
2,2018-08-06,05:02:59,56,43,414,414
80,2019-03-27,08:48:44,16,94,415,415
74,2019-07-02,00:08:18,28,74,416,416
64,2020-02-06,16:54:00,41,10,417,417
80,2019-06-17,20:24:24,59,68,418,418
44,2016-07-27,21:00:02,32,66,419,419
54,2020-03-30,20:17:11,53,30,420,420
16,2020-03-16,10:42:50,36,29,421,421
31,2020-05-17,01:44:34,54,52,422,422
25,2021-02-02,14:54:50,18,41,423,423
3,2018-07-03,06:34:12,55,75,424,424
94,2017-01-10,18:14:17,56,89,425,425
57,2016-11-19,22:18:33,45,84,426,426
50,2016-05-08,04:28:21,56,70,427,427
88,2020-08-15,07:19:27,50,69,428,428
33,2021-02-13,18:53:51,43,21,429,429
41,2019-03-03,20:36:38,18,34,430,430
33,2020-02-05,23:49:30,50,46,431,431
22,2016-08-29,12:33:59,44,45,432,432
65,2018-09-11,12:12:55,49,78,433,433
76,2019-02-19,00:21:31,23,56,434,434
40,2018-01-11,19:33:40,33,32,435,435
37,2017-01-09,06:21:01,46,91,436,436
1,2020-10-01,22:31:52,35,63,437,437
10,2018-12-31,06:28:26,49,28,438,438
79,2019-11-30,14:44:30,27,33,439,439
74,2016-08-08,18:30:03,57,21,440,440
45,2016-10-21,09:24:47,55,54,441,441
76,2018-11-12,01:59:59,41,97,442,442
90,2018-05-06,04:29:22,41,55,443,443
38,2018-07-20,05:50:38,59,93,444,444
87,2018-11-25,21:27:01,37,47,445,445
1,2018-10-22,11:23:40,50,90,446,446
17,2020-11-27,09:59:49,27,15,447,447
69,2018-07-05,09:38:57,54,73,448,448
43,2017-08-18,19:31:17,44,76,449,449
19,2016-08-19,07:18:52,58,87,450,450
79,2020-12-02,21:16:09,60,39,451,451
10,2019-08-16,20:39:39,37,13,452,452
79,2018-06-24,11:30:38,34,41,453,453
23,2017-05-18,13:31:58,39,31,454,454
64,2016-12-01,16:57:22,38,11,455,455
70,2021-02-04,14:23:00,21,50,456,456
89,2019-03-07,23:04:01,56,55,457,457
53,2021-04-21,16:13:07,16,29,458,458
58,2017-05-04,23:08:04,13,20,459,459
70,2018-03-02,12:23:53,53,62,460,460
9,2019-03-15,05:18:03,56,25,461,461
18,2017-11-19,01:15:06,44,93,462,462
63,2017-01-05,20:12:42,38,15,463,463
44,2019-07-01,02:52:38,25,35,464,464
49,2018-02-06,15:54:19,53,80,465,465
53,2021-01-13,01:41:19,56,43,466,466
87,2018-05-22,17:07:18,53,11,467,467
6,2019-10-29,02:57:34,45,11,468,468
2,2020-02-11,17:49:38,18,89,469,469
54,2016-12-30,23:26:03,51,63,470,470
40,2019-08-10,10:32:03,20,59,471,471
38,2019-10-16,23:40:46,24,23,472,472
40,2017-12-12,12:21:20,11,73,473,473
57,2016-07-19,07:36:53,43,22,474,474
75,2020-05-03,23:24:39,28,32,475,475
74,2018-04-16,22:55:37,48,95,476,476
81,2018-08-05,07:05:19,31,67,477,477
35,2018-02-13,10:23:22,15,32,478,478
25,2016-08-02,00:37:52,38,100,479,479
24,2017-12-03,08:00:16,31,27,480,480
93,2017-12-09,08:33:52,15,37,481,481
55,2019-10-03,14:52:09,58,49,482,482
64,2021-01-25,20:03:01,29,61,483,483
69,2019-02-13,14:55:09,34,30,484,484
8,2019-06-10,21:30:26,16,85,485,485
27,2019-07-27,12:04:33,13,65,486,486
44,2019-08-21,15:06:43,59,55,487,487
68,2017-07-01,10:36:55,29,39,488,488
67,2021-03-13,13:25:29,45,46,489,489
89,2019-04-09,06:56:48,12,19,490,490
84,2018-12-20,14:33:26,26,45,491,491
9,2019-12-16,04:52:04,28,84,492,492
62,2020-11-21,16:36:49,11,80,493,493
73,2019-02-05,23:08:26,12,45,494,494
57,2020-04-05,14:28:22,44,13,495,495
84,2019-12-05,13:55:40,39,26,496,496
22,2020-08-28,16:25:34,14,88,497,497
96,2020-06-25,05:59:09,21,81,498,498
84,2017-09-14,21:35:45,23,25,499,499
76,2016-09-26,21:55:18,44,58,500,500
46,2020-04-30,21:53:13,15,51,501,501
75,2019-04-19,15:49:17,20,78,502,502
82,2017-02-21,20:48:56,30,69,503,503
43,2019-03-24,00:28:30,48,48,504,504
40,2020-04-26,19:42:13,53,17,505,505
73,2020-09-09,22:20:17,47,34,506,506
72,2017-12-18,07:23:01,35,87,507,507
97,2019-06-04,20:42:55,22,19,508,508
11,2018-05-16,22:40:04,45,70,509,509
76,2020-06-20,07:47:23,44,69,510,510
22,2016-07-15,08:26:49,38,88,511,511
34,2017-07-26,07:22:00,46,64,512,512
87,2020-10-19,05:46:39,16,50,513,513
61,2016-07-14,22:40:49,32,46,514,514
69,2018-09-08,12:44:57,30,61,515,515
91,2020-05-18,21:45:21,53,41,516,516
83,2017-10-12,03:14:16,22,63,517,517
75,2018-11-05,00:52:28,12,34,518,518
43,2018-07-14,06:15:21,30,56,519,519
25,2019-10-06,18:34:42,51,36,520,520
16,2017-09-25,09:16:57,22,76,521,521
43,2018-03-12,20:43:15,39,30,522,522
36,2018-02-26,13:36:41,23,87,523,523
84,2018-04-20,18:33:21,55,78,524,524
10,2017-11-16,21:00:48,29,34,525,525
74,2020-12-07,05:19:55,30,83,526,526
79,2016-11-24,23:02:11,56,71,527,527
37,2020-08-02,06:22:55,46,34,528,528
73,2016-11-27,10:26:06,54,51,529,529
35,2019-12-07,02:09:31,58,79,530,530
31,2016-10-20,06:37:05,51,63,531,531
16,2019-09-28,18:30:24,32,85,532,532
79,2020-11-28,04:36:05,20,27,533,533
57,2019-04-08,00:52:55,44,72,534,534
21,2017-03-22,07:28:41,25,62,535,535
89,2017-12-17,14:26:02,16,44,536,536
78,2020-03-22,12:20:00,14,89,537,537
74,2017-08-06,05:45:19,59,36,538,538
27,2020-04-29,08:12:41,46,88,539,539
50,2017-10-08,09:00:57,28,65,540,540
57,2018-06-14,05:59:57,13,44,541,541
68,2019-09-18,18:08:06,48,53,542,542
87,2016-05-02,04:32:18,45,42,543,543
43,2021-03-08,22:22:33,34,84,544,544
79,2018-07-29,00:08:59,29,45,545,545
28,2016-11-10,00:04:28,21,54,546,546
35,2019-07-13,15:24:28,58,70,547,547
11,2019-11-08,19:01:15,45,32,548,548
97,2018-02-24,07:46:25,11,50,549,549
90,2020-03-21,21:21:16,59,48,550,550
68,2020-09-02,23:25:58,23,100,551,551
97,2018-03-29,21:24:19,20,29,552,552
18,2018-09-29,13:30:09,21,95,553,553
86,2017-04-06,10:51:20,51,68,554,554
97,2019-10-04,01:00:21,49,96,555,555
22,2020-05-24,14:25:44,13,72,556,556
1,2016-10-14,13:25:13,35,74,557,557
33,2020-05-31,16:04:34,54,53,558,558
92,2016-11-27,22:37:30,36,80,559,559
7,2017-07-08,18:19:21,46,32,560,560
36,2017-02-12,07:27:03,50,57,561,561
14,2018-09-01,10:39:28,36,11,562,562
74,2020-05-24,02:48:01,44,40,563,563
59,2021-04-16,18:18:52,60,58,564,564
65,2020-10-19,15:01:02,14,77,565,565
100,2018-10-14,02:08:20,52,84,566,566
10,2016-08-10,21:31:00,30,42,567,567
59,2018-07-15,04:07:32,50,27,568,568
72,2021-03-06,18:18:27,36,90,569,569
83,2017-09-02,11:41:28,16,97,570,570
50,2017-02-16,16:20:37,34,26,571,571
47,2019-01-25,10:14:53,18,79,572,572
83,2019-06-23,05:40:37,41,70,573,573
98,2018-04-04,06:49:23,37,29,574,574
59,2020-03-29,22:52:06,58,69,575,575
45,2020-09-14,16:44:15,12,51,576,576
41,2019-12-20,09:46:41,28,33,577,577
33,2020-04-05,17:01:51,11,43,578,578
24,2019-10-16,11:00:45,35,94,579,579
29,2018-09-24,06:26:40,28,77,580,580
43,2019-09-17,13:56:13,42,43,581,581
32,2019-12-03,02:05:44,31,71,582,582
55,2018-09-11,02:36:50,13,55,583,583
77,2019-12-30,00:49:08,52,29,584,584
9,2020-10-15,11:45:20,56,87,585,585
90,2016-06-28,05:19:15,37,81,586,586
34,2016-09-12,06:36:42,11,60,587,587
37,2021-04-16,05:29:33,44,54,588,588
94,2018-03-26,01:46:27,55,63,589,589
52,2020-09-21,16:56:29,44,49,590,590
35,2018-11-07,09:52:59,24,67,591,591
36,2016-07-27,06:11:02,26,23,592,592
22,2019-05-01,08:28:53,30,66,593,593
55,2017-11-01,15:41:34,31,83,594,594
57,2019-02-12,11:14:16,29,36,595,595
46,2016-05-16,09:51:59,42,47,596,596
72,2019-12-03,11:46:42,21,58,597,597
48,2019-11-21,00:06:34,41,83,598,598
23,2017-05-31,04:08:51,35,28,599,599
26,2018-06-28,21:33:16,10,41,600,600
42,2017-04-08,17:31:58,20,78,601,601
49,2019-10-22,08:09:27,43,72,602,602
71,2017-09-19,09:00:01,20,42,603,603
48,2017-02-24,22:27:00,37,35,604,604
16,2018-11-20,10:11:24,31,40,605,605
